placement,size,bandwidth_MBps,cluster,source
same_numa,524288,4660.45,iris,local
same_numa,1048576,4600.22,iris,local
diff_numa_same_socket,1,23.71,iris,local
diff_numa_same_socket,2,47.1,iris,local
diff_numa_same_socket,4,99.15,iris,local
diff_numa_same_socket,8,198.91,iris,local
diff_numa_same_socket,16,378.97,iris,local
diff_numa_same_socket,32,741.4,iris,local
diff_numa_same_socket,64,1542.92,iris,local
diff_numa_same_socket,128,3009.93,iris,local
diff_numa_same_socket,256,5746.63,iris,local
diff_numa_same_socket,512,9383.47,iris,local
diff_numa_same_socket,1024,14274.94,iris,local
diff_numa_same_socket,2048,15399.16,iris,local
diff_numa_same_socket,4096,12221.81,iris,local
diff_numa_same_socket,8192,12847.8,iris,local
diff_numa_same_socket,16384,14607.19,iris,local
diff_numa_same_socket,32768,15133.66,iris,local
diff_numa_same_socket,65536,15270.32,iris,local
diff_numa_same_socket,131072,15260.34,iris,local
diff_numa_same_socket,262144,9749.95,iris,local
diff_numa_same_socket,524288,4221.83,iris,local
diff_numa_same_socket,1048576,4213.47,iris,local
diff_socket_same_node,1,24.42,iris,local
diff_socket_same_node,2,47.47,iris,local
diff_socket_same_node,4,99.48,iris,local
diff_socket_same_node,8,200.34,iris,local
diff_socket_same_node,16,390.42,iris,local
diff_socket_same_node,32,777.52,iris,local
diff_socket_same_node,64,1578.59,iris,local
diff_socket_same_node,128,3086.54,iris,local
diff_socket_same_node,256,5752.36,iris,local
diff_socket_same_node,512,9406.06,iris,local
diff_socket_same_node,1024,15055.96,iris,local
diff_socket_same_node,2048,15068.52,iris,local
diff_socket_same_node,4096,12267.17,iris,local
diff_socket_same_node,8192,12927.96,iris,local
diff_socket_same_node,16384,14670.9,iris,local
diff_socket_same_node,32768,15068.39,iris,local
diff_socket_same_node,65536,15275.58,iris,local
diff_socket_same_node,131072,15275.06,iris,local
diff_socket_same_node,262144,10253.44,iris,local
diff_socket_same_node,524288,4223.9,iris,local
diff_socket_same_node,1048576,4178.76,iris,local
inter_node,1,6.85,iris,local
inter_node,2,13.74,iris,local
inter_node,4,26.55,iris,local
inter_node,8,53.73,iris,local
inter_node,16,110.4,iris,local
inter_node,32,222.28,iris,local
inter_node,64,437.68,iris,local
inter_node,128,743.03,iris,local
inter_node,256,1401.67,iris,local
inter_node,512,2652.58,iris,local
inter_node,1024,4541.27,iris,local
inter_node,2048,6454.85,iris,local
inter_node,4096,9072.08,iris,local
inter_node,8192,9868.39,iris,local
inter_node,16384,10562.03,iris,local
inter_node,32768,11315.74,iris,local
inter_node,65536,11698.0,iris,local
inter_node,131072,11892.15,iris,local
inter_node,262144,11974.87,iris,local
inter_node,524288,12077.29,iris,local
inter_node,1048576,12111.93,iris,local
